instance_sn,creation_time
instance_7708,129057.0
instance_7709,129057.0
instance_7707,130559.0
instance_7711,130798.0
instance_7713,130798.0
instance_7712,130798.0
instance_7714,130800.0
instance_7710,130980.0
instance_7715,132005.0
instance_7716,132090.0
instance_7717,133590.0
instance_7718,133988.0
instance_7719,133988.0
instance_7723,136154.0
instance_7724,136154.0
instance_7728,136154.0
instance_7739,136154.0
instance_7732,136154.0
instance_7731,136154.0
instance_7747,136154.0
instance_7733,136154.0
instance_7735,136154.0
instance_7767,136154.0
instance_7730,136154.0
instance_7740,136154.0
instance_7741,136154.0
instance_7738,136155.0
instance_7737,136155.0
instance_7736,136155.0
instance_7727,136155.0
instance_7734,136155.0
instance_7729,136546.0
instance_7726,136546.0
instance_7742,136574.0
instance_7722,136677.0
instance_7743,136760.0
instance_7748,136784.0
instance_7720,136815.0
instance_7744,136934.0
instance_7745,136993.0
instance_7725,137084.0
instance_7770,137095.0
instance_7746,137192.0
instance_7749,137212.0
instance_7750,137234.0
instance_7751,137294.0
instance_7752,137404.0
instance_7753,137470.0
instance_7754,137473.0
instance_7755,137563.0
instance_7756,137747.0
instance_7721,137791.0
instance_7757,137832.0
instance_7758,137892.0
instance_7759,137924.0
instance_7760,137955.0
instance_7761,138139.0
instance_7762,138224.0
instance_7768,138374.0
instance_7763,138380.0
instance_7764,138382.0
instance_7765,138402.0
instance_7766,138402.0
instance_7769,138591.0
instance_7771,138764.0
instance_7772,138854.0
instance_7773,138854.0
instance_7774,138855.0
instance_7775,138856.0
instance_7776,138856.0
instance_7777,139313.0
instance_7778,139334.0
instance_7779,139631.0
instance_7781,139724.0
instance_7780,139724.0
instance_7782,139996.0
instance_7783,140081.0
instance_7784,140148.0
instance_7786,140325.0
instance_7785,140325.0
instance_7787,140457.0
instance_7788,140534.0
instance_7789,140535.0
instance_7790,140633.0
instance_7791,140831.0
instance_7792,140854.0
instance_7794,141079.0
instance_7793,141079.0
instance_7795,141292.0
instance_7796,141964.0
instance_7797,141967.0
instance_7798,142608.0
instance_7799,143178.0
instance_7800,143568.0
instance_7805,144109.0
instance_7802,144109.0
instance_7801,144109.0
instance_7804,144109.0
instance_7806,144109.0
instance_7807,144109.0
instance_7803,144109.0
instance_7808,144374.0
instance_7809,144375.0
instance_7810,144619.0
instance_7811,144859.0
instance_7812,145309.0
instance_7813,145446.0
instance_7814,145571.0
instance_7815,147475.0
instance_7816,147476.0
instance_7817,147477.0
instance_7818,147636.0
instance_7819,147636.0
instance_7821,147747.0
instance_7822,147747.0
instance_7820,147747.0
instance_7824,147748.0
instance_7823,147748.0
instance_7825,147748.0
instance_7826,148107.0
instance_7827,148138.0
instance_7828,148707.0
instance_7829,149218.0
instance_7830,149308.0
instance_7831,149313.0
instance_7832,149367.0
instance_7833,149570.0
instance_7834,150267.0
instance_7835,151025.0
instance_7836,151263.0
instance_7839,151391.0
instance_7838,151391.0
instance_7837,151391.0
instance_7840,151864.0
instance_7841,152321.0
instance_7843,154003.0
instance_7842,154003.0
instance_7844,154033.0
instance_7845,154123.0
instance_7846,154574.0
instance_7847,155233.0
instance_7848,155263.0
instance_7849,155323.0
instance_7851,155353.0
instance_7850,155353.0
instance_7852,157600.0
instance_7853,157809.0
instance_7854,158031.0
instance_7855,158052.0
instance_7856,158052.0
instance_7857,158479.0
instance_7858,158480.0
instance_7859,158652.0
instance_7864,159026.0
instance_7863,159026.0
instance_7861,159026.0
instance_7862,159026.0
instance_7860,159026.0
instance_7865,159475.0
instance_7866,159717.0
instance_7867,159746.0
instance_7868,159806.0
instance_7870,159852.0
instance_7869,159852.0
instance_7871,160106.0
instance_7872,161186.0
instance_7873,163267.0
instance_7874,163267.0
instance_7877,163387.0
instance_7876,163387.0
instance_7878,163387.0
instance_7875,163387.0
instance_7879,163419.0
instance_7880,163502.0
instance_7883,164101.0
instance_7881,164131.0
instance_7882,164153.0
instance_7884,164281.0
instance_7885,164577.0
instance_7886,164578.0
instance_7887,164941.0
instance_7888,165247.0
instance_7889,165310.0
instance_7890,165512.0
instance_7891,165605.0
instance_7892,166502.0
instance_7893,166917.0
instance_7894,166918.0
instance_7895,167577.0
instance_7896,167638.0
instance_7897,167698.0
instance_7898,167758.0
instance_7899,167787.0
instance_7900,167847.0
instance_7901,167937.0
instance_7902,167967.0
instance_7903,167998.0
instance_7904,168344.0
instance_7905,168345.0
instance_7906,168449.0
instance_7907,168657.0
