instance_sn,creation_time
instance_8176,213977.0
instance_8174,213977.0
instance_8175,213977.0
instance_8171,213977.0
instance_8172,213977.0
instance_8167,213977.0
instance_8190,215428.0
instance_8208,217405.0
instance_8209,217405.0
instance_8210,217405.0
instance_8206,217405.0
instance_8205,217405.0
instance_8207,217405.0
instance_8203,217405.0
instance_8204,217405.0
instance_8201,217405.0
instance_8202,217405.0
instance_8200,217405.0
instance_8211,217690.0
instance_8233,220789.0
instance_8239,220789.0
instance_8234,220789.0
instance_8236,220789.0
instance_8235,220789.0
instance_8237,220789.0
instance_8238,220790.0
instance_8240,220791.0
instance_8241,220791.0
instance_8246,220939.0
instance_8243,220939.0
instance_8242,220939.0
instance_8244,220939.0
instance_8245,220939.0
instance_8250,224222.0
instance_8255,224222.0
instance_8254,224222.0
instance_8252,224222.0
instance_8251,224222.0
instance_8253,224222.0
instance_8273,231977.0
instance_8277,234385.00000000003
instance_8278,234385.00000000003
instance_8279,234385.00000000003
instance_8280,235641.00000000003
instance_8282,237367.00000000003
instance_8283,237377.00000000003
instance_8285,237783.00000000003
instance_8284,237783.00000000003
instance_8286,237783.00000000003
instance_8288,237783.00000000003
instance_8287,237784.00000000003
instance_8296,241180.00000000003
instance_8294,241180.00000000003
instance_8295,241180.00000000003
instance_8292,241180.00000000003
instance_8291,241180.00000000003
instance_8290,241180.00000000003
instance_8289,241180.00000000003
instance_8293,241180.00000000003
instance_8297,241185.00000000003
instance_8300,244588.00000000003
instance_8302,254071.00000000003
instance_8308,259617.00000000003
instance_8309,259619.00000000003
instance_8319,264716.0
instance_8324,270667.0
instance_8334,278209.0
instance_8335,278209.0
instance_8344,281695.0
instance_8385,295128.0
instance_8410,302551.0
instance_8405,302552.0
instance_8407,302552.0
instance_8408,302552.0
instance_8409,302552.0
instance_8412,302552.0
instance_8413,302552.0
instance_8406,302552.0
instance_8411,302552.0
instance_8417,302552.0
instance_8415,302552.0
instance_8416,302552.0
instance_8418,302552.0
instance_8414,302552.0
instance_8432,305941.0
instance_8434,305941.0
instance_8435,305941.0
instance_8433,305941.0
instance_8431,305941.0
instance_8436,305942.0
instance_8447,309292.0
instance_8462,312704.0
instance_8460,312704.0
instance_8461,312704.0
instance_8475,315385.0
instance_8490,317821.0
instance_8498,318633.0
instance_8501,319575.0
instance_8500,319575.0
instance_8502,319575.0
instance_8505,319575.0
instance_8506,319575.0
instance_8504,319575.0
instance_8503,319576.0
instance_8509,319576.0
instance_8507,319576.0
instance_8508,319576.0
instance_8511,320427.0
instance_8539,324362.0
instance_8543,325364.0
instance_8545,325365.0
instance_8546,325365.0
instance_8549,325365.0
instance_8550,325365.0
instance_8548,325365.0
instance_8547,325365.0
instance_8542,325365.0
instance_8552,325366.0
instance_8544,325366.0
instance_8551,325366.0
instance_8541,325366.0
instance_8553,325367.0
instance_8556,325987.0
instance_8557,326009.0
instance_8559,326619.0
instance_8560,326856.0
instance_8561,327080.0
instance_8563,329805.0
instance_8565,331030.0
instance_8567,331030.0
instance_8566,331031.0
instance_8569,331031.0
instance_8570,331031.0
instance_8568,331031.0
instance_8571,331031.0
instance_8572,331033.0
instance_8579,334433.0
instance_8580,334434.0
instance_8583,336015.0
instance_8594,336930.0
instance_8595,336930.0
instance_8598,336930.0
instance_8587,336930.0
instance_8586,336931.0
instance_8588,336931.0
instance_8596,336931.0
instance_8597,336931.0
instance_8592,336931.0
instance_8589,336931.0
instance_8600,336931.0
instance_8593,336931.0
instance_8590,336931.0
instance_8591,336931.0
instance_8599,336932.0
instance_8603,336932.0
instance_8601,336932.0
instance_8602,336932.0
instance_8614,342453.0
instance_8613,342453.0
instance_8615,342453.0
instance_8612,342453.0
instance_8616,342453.0
instance_8618,342454.0
instance_8623,342454.0
instance_8627,342454.0
instance_8619,342454.0
